"","LakeID","Expt","Year","DDload","TotLoad","TP","Chl","Secchi","Hyper","Pexport"
"1",1,1,1987,9516.5,9516.5,0.02052011073622,4.37071067587559,2.41519671036961,0.0121585754612649,5874.42833923702
"2",1,1,1988,4403.9,4403.9,0.0182960337235056,3.78199565843988,2.51181475746478,0.00824566870939224,3804.85857266679
"3",1,1,1989,6006.9,6006.9,0.0189661129076706,3.95269487324407,2.4811123930438,0.00931485796999767,3419.77440871372
"4",1,1,1990,8001.2,8001.2,0.0198341213017434,4.18236279755656,2.44343878490094,0.0108384311325711,3432.33791684068
"5",1,1,1991,11905,11905,0.0216498976705686,4.6940873305203,2.37134130301737,0.0145685691482425,4111.21799345763
"6",1,1,1992,6826.8,6826.8,0.0193182744224789,4.04470939687383,2.46555414705317,0.00991370991548055,2897.21481095667
"7",1,1,1993,32499,32499,0.0343673649670603,9.42582377148461,2.02476766235414,0.0669823603469569,8723.95233522481
"8",1,1,1994,13747,13747,0.0225634915179338,4.96756572819854,2.33806484534962,0.0167432870404826,5086.72757710701
"9",1,1,1995,16805,16805,0.0241661123274542,5.47307646305655,2.28384878816028,0.0210779107626465,5664.5675500143
"10",1,1,1996,37969,37969,0.0388554441964089,11.5261416640132,1.94155298050804,0.0984762587590507,10638.1565171226
"11",1,1,1997,10252,10252,0.0208615807826021,4.46671971402671,2.40160641283849,0.0128554188140673,4880.24634797822
"12",1,1,1998,26609,26609,0.0301125583012416,7.62872571522402,2.11836396091489,0.0436906994121884,8253.06263793571
"13",1,1,1999,10323,10323,0.0208948431464558,4.47615197117293,2.4002985552902,0.0129247382122287,4690.8435174218
"14",1,1,2000,39401,39401,0.0401242425747829,12.1541110669122,1.92033874978312,0.108670800757871,11115.9717053006
"15",1,1,2001,11636,11636,0.021519611108794,4.65595929173632,2.37624036703555,0.014275191617193,5349.47288117644
"16",1,1,2002,8563.1,8563.1,0.0200857813685272,4.25075759914387,2.4329278039065,0.0113105570405067,4167.73357264703
"17",1,1,2003,7556.7,7556.7,0.0196372772776065,4.12943228651605,2.45178582523945,0.0104788023781685,3516.20405028888
"18",1,1,2004,26389,26389,0.0299642722274481,7.56978129481073,2.12194252146422,0.042990787038706,7617.28301294098
"19",1,1,2005,8836.1,8836.1,0.0202092008770677,4.28459712693776,2.42783735981075,0.0115472229254086,3942.86042877463
"20",1,1,2006,27182,27182,0.0305022299295517,7.7848408441278,2.10907174103844,0.045565040954197,7932.37814162768
"21",1,1,2007,32801,32801,0.0346010479394847,9.53022340945228,2.02008171239309,0.0684451903977791,9674.67188559671
"22",1,1,2008,43379,43379,0.0438705234203052,14.0859368726676,1.86261550922115,0.14195445788576,12633.5500777538
"23",1,1,2009,17764,17764,0.0246917761608013,5.64599491345113,2.26710677084,0.022650984959504,7315.79923019484
"24",1,1,2010,33289,33289,0.0349820177804746,9.70164094573378,2.01253262333746,0.0708716404590799,10530.9243284248
"25",1,1,2011,11848,11848,0.0216222247785237,4.6859706982226,2.37237855058818,0.014505911690295,5756.59525861242
"26",1,1,2012,9983.9,9983.9,0.020736456988729,4.43136550358494,2.4065513857573,0.0125969581641282,4747.8421348409
"27",1,1,2013,30388,30388,0.0327773885676029,8.73087535031719,2.05782772138412,0.0575420127859389,9083.00813383611
"28",1,2,1987,14741,14741,0.0230724080406786,5.12454229663569,2.32030224547098,0.0180463395484038,7099.13590265577
"29",1,2,1988,5952.6,5952.6,0.0189430180569419,3.94671603418635,2.48214623766866,0.00927648720256072,4348.37304700634
"30",1,2,1989,8656,8656,0.0201276953323184,4.26222775503539,2.43119436430453,0.0113905496171781,4215.30886665557
"31",1,2,1990,10954,10954,0.0211927964664049,4.56127703900962,2.38870644922243,0.0135572310695276,4333.09821595697
"32",1,2,1991,17397,17397,0.0244892724670426,5.57896690402753,2.27349923262889,0.0220358763396466,5640.52537328085
"33",1,2,1992,9005.5,9005.5,0.0202861652557969,4.30579850047868,2.42468403035477,0.0116965309974435,3759.89060039817
"34",1,2,1993,49154,49154,0.0499402499608392,17.423064981909,1.78189048878621,0.204887311531806,12939.471085764
"35",1,2,1994,17203,17203,0.0243828987750319,5.54396527300236,2.27688563316635,0.0217173507334193,6680.99785614228
"36",1,2,1995,21793,21793,0.0270280864643066,6.4564708121705,2.19809982750665,0.0306056356279514,7479.1357432546
"37",1,2,1996,52621,52621,0.0539805045287926,19.7534640027435,1.7351180300024,0.2516194160439,14677.9320457187
"38",1,2,1997,12245,12245,0.0218157013004897,4.74292446430697,2.36516362585742,0.0149478918652389,6259.42189648851
"39",1,2,1998,33526,33526,0.0351685483678619,9.786115937411,2.0088765488538,0.072078518427863,10555.0356655583
"40",1,2,1999,12299,12299,0.0218421514196637,4.75074792731917,2.36418394746218,0.0150090258089172,5849.41340001419
"41",1,2,2000,53548,53548,0.0551151048521181,20.4198958413858,1.72282146421166,0.265248852476081,14966.8987565538
"42",1,2,2001,13913,13913,0.0226476940276869,4.99330950559094,2.33508902537368,0.0169542799040426,6730.51474547958
"43",1,2,2002,9588.4,9588.4,0.020553243718197,4.37996083693959,2.41386478417676,0.0122250177453898,5055.00720717913
"44",1,2,2003,8754.2,8754.2,0.0201720956073462,4.27440292518925,2.42936337369057,0.011475713832449,4266.23075930146
"45",1,2,2004,30589,30589,0.0329255556425711,8.79448508700546,2.0546567757982,0.0583841534675985,8957.96707557701
"46",1,2,2005,9885.4,9885.4,0.0206906752292794,4.41847996151215,2.40837072639565,0.0125032939325318,4572.77867434872
